tweet_id,user_id,created_at,text,hashtags,retweetcount,retweeter_ids
1659771775667011584,1628706196151758848,2023-05-20 04:03:23+00:00,ประมวลรอบ2 ติดมธ.กับ มก. สุ่มแจก 100🥲 #dek66 https://t.co/5PbgBQiL7b,dek66,7,"1339915744058855425,1647839659907764225,899637521570603008"
1659771776476545025,1195030605433425921,2023-05-20 04:03:23+00:00,ย้ำอีกรอบ!! สำหรับผู้ที่ถูกเลือกให้ผิดหวังทั้งหลายกดประมวลผลรอบ2ค่ะทุกคนอย่าลืมกดอันดับที่ติดไปด้วยเพื่อรักษาสิทธิ์… https://t.co/jokJ8bZzMg,,1,"1418434974903009286,1396175754388406273,1656360505043468288"
1659771773595058176,910738395663446016,2023-05-20 04:03:22+00:00,"สลิ่มคงนั่งหัวเราะกันแล้วมั้งเวลานี้😔 
#มีกรณ์ไม่มีกู #กูไม่เอาพรรคใหม่ #dek66 #พิธาลิ้มเจริญรัตน์ #พรรคก้าวไกล… https://t.co/Sri1NOXGmI","มีกรณ์ไม่มีกู,กูไม่เอาพรรคใหม่,dek66,พิธาลิ้มเจริญรัตน์,พรรคก้าวไกล",0,
1659771760303284225,1520375815560896513,2023-05-20 04:03:19+00:00,"บนค่ะ ถ้าได้เลื่อน แจก200 
(((รีอย่างเดียว))) #dek66 https://t.co/7hjubnIuyL",dek66,14,"1641375110300045312,1435596003252457474,1339915744058855425"
1659771756415160320,1618108891837108224,2023-05-20 04:03:18+00:00,"ติดแล้วค้าบบ
#ส่งต่อหนังสือ #dek66 #dek67 #dek68 #dek69 #นิติ #นิติศาสตร์ #หนังสือมือสอง… https://t.co/FRxVrZBMXV","ส่งต่อหนังสือ,dek66,dek67,dek68,dek69,นิติ,นิติศาสตร์,หนังสือมือสอง",0,
1659771757866405889,861907645145333761,2023-05-20 04:03:18+00:00,"ถ้าประมวลเเล้วเลื่อนขึ้นไปติดไม่ว่าอันไหน 
🤍แจก100บาทค่ะ🙏
มารอฟังข่าวดีอีกรอบกันค่ะคนที่ประมวลรอบ2 #dek66 https://t.co/iX3wrfC3sH",dek66,3,"1653467388304846848,1086154958984994816,897033364766457856"
1659771751931461633,1402888729132371969,2023-05-20 04:03:17+00:00,ทำไมมันหลุดกันเยอะแบบนี้ คะแนนเฟ้อ+40-60เลยหรอ เอาดีๆแม่ #dek66,dek66,0,
1659771748118822914,1523252282623934464,2023-05-20 04:03:16+00:00,ขออนุญาตถามค่ะ วิทยาศาสตร์ มธ. ถ้าเข้าไปสามารถเปลี่ยนสาขาที่เรียนได้มั้ยคะ #dek66 #มธ #TCAS66,"dek66,มธ,TCAS66",0,
1659771734302822402,969655523225231360,2023-05-20 04:03:13+00:00,คนติดม.บูรพา คณะศิลปกรรม สาขาทัศนศิลป์มั้ยคะ #dek66 #TCAS66,"dek66,TCAS66",0,
1659771734319570945,1397493721038348288,2023-05-20 04:03:13+00:00,สวัสดีค่า วันนี้มาเป็นสาวอักษร ฬ ด้วยคะแนน 79 😽😽🫶🏼 #dek66 #TCAS66 https://t.co/ttZKvZ7Bo1,"dek66,TCAS66",0,
1659771730662141953,1341982335143616514,2023-05-20 04:03:12+00:00,"มหาลัยคัดเด็กเข้าเรียนหรือคัดอาจารย์เตรียมย้ายไปนอกโลกว่ะ
#dek66",dek66,4,"1264403217837785088,897033364766457856,1243149986642022408"
1659771732063031297,1568875090456231937,2023-05-20 04:03:12+00:00,หาเพื่อนติดครุสังคมบ้านสมเด็จฮะๆๆ #dek66,dek66,0,
1659771728808284162,1527818731702718464,2023-05-20 04:03:11+00:00,หาเพื่อน ครุ ฬ ค้าบ #dek66,dek66,0,
1659771728967647233,1456851555051659266,2023-05-20 04:03:11+00:00,ก็รวยกันเลยดิ มหาลัยก็รับน้อยแถมหลุดเยอะ แล้วได้ไรจากการศึกษากลับมาบ้างอะ ได้แต่ความผิดหวัง #dek66,dek66,1,"1384393868062330884,1367855886866083842,1550458884128514049"
1659771718083248129,1482049927236956160,2023-05-20 04:03:09+00:00,เกาหลี มธ คะแนนเท่าไหร่กันบ้างคะ🥺🙏🏻 #dek66,dek66,2,"1269959359955533827,1657668068217339904"
1659771717970194432,1579039897016418304,2023-05-20 04:03:09+00:00,รัฐศาสตร์ มช คนที่ติดได้เท่าไหร่คะ 😭  #dek66,dek66,0,
1659771702350598145,1572853566435254272,2023-05-20 04:03:05+00:00,ศึกษาศาสตร์ สาขา คณิต  มช.❤️ ( คนที่ติดนะค่า) คะแนนเท่าไหร่กันบ้าง #ทีมมช #ศึกษามช #dek66,"ทีมมช,ศึกษามช,dek66",0,
1659771702799396870,1432393430697537541,2023-05-20 04:03:05+00:00,"ไหนมีใครสละสิทธิ์รอบนี้มั้ย มศก มน มช มศว เราจะดูโอกาสที่เราจะติดประมวลผลรอบสอง😭😭
 #dek66",dek66,0,
1659771700932935681,1567902881696870402,2023-05-20 04:03:05+00:00,#dek66 https://t.co/jrMbxYxeOG https://t.co/PQJpnXbO18,dek66,0,
1659771694150750208,1480097412014174208,2023-05-20 04:03:03+00:00,ถ้าเรายื่นประมวลแล้วไม่กดอันดับเดิม คือเราจะมีโอกาศหลุดไปอันดับล่างลงไปได้มั้ยคะ หรือหลุดไปเลย  #dek66,dek66,1,983690759923617792
1659771672940122113,1300428346463936514,2023-05-20 04:02:58+00:00,บนค่ะประมวลผลรอบ2แล้วอันดับขยับขึ้นเเจก100ค่ะ #dek66,dek66,6,"1033630800527339525,1485614444084592640,1503161046487678978"
1659771667076489218,1516987712909492225,2023-05-20 04:02:57+00:00,ใครที่ผิดหวัง จะบอกว่าไม่เป็นไรเลยค่ะ คุณเก่งที่สุดแล้ว มาได้ไกลขนาดนี้ มันไม่ใช่ทุกอย่างของชีวิต มันเป็นแค่การเริ่… https://t.co/BxxNoXTpeO,,12,"1396175754388406273,1472383714357248000,1423112834020352008"
